fain_id,nf_name,pdf_name,rep_type,rep_date,url,download_record
43505,LIFE CARE CENTER OF KENNEWICK,"Life Care of Kennewick (GG, CF, CMP, SUB, Cont SP) 4 12 18.pdf",Enforcement Letter,04/2018,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1381/enforcement letter/2018/Life Care of Kennewick (GG, CF, CMP, SUB, Cont SP) 4 12 18.pdf",Tue Jun  9 15:23:16 2020
43505,LIFE CARE CENTER OF KENNEWICK,"Life Care of Kennewick (Hx G prior D, CMP, CF) 8 17.pdf",Enforcement Letter,08/2017,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1381/enforcement letter/2017/Life Care of Kennewick (Hx G prior D, CMP, CF) 8 17.pdf",Tue Jun  9 15:23:17 2020
43507,LIFE CARE CENTER OF RICHLAND,Life Care of Richland (Hx D prior GG) 3 4 20.pdf,Enforcement Letter,03/2020,https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1383/enforcement letter/2020/Life Care of Richland (Hx D prior GG) 3 4 20.pdf,Tue Jun  9 15:23:30 2020
43507,LIFE CARE CENTER OF RICHLAND,"Life Care Center of Richland (GG, CMP, CF) 2 11 20.pdf",Enforcement Letter,02/2020,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1383/enforcement letter/2020/Life Care Center of Richland (GG, CMP, CF) 2 11 20.pdf",Tue Jun  9 15:23:32 2020
43507,LIFE CARE CENTER OF RICHLAND,"Life Care of Richland (G, CMP, CF) 12 13 19.pdf",Enforcement Letter,12/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1383/enforcement letter/2019/Life Care of Richland (G, CMP, CF) 12 13 19.pdf",Tue Jun  9 15:23:34 2020
43507,LIFE CARE CENTER OF RICHLAND,Life Care of Richland (Hx E prior D) 8 29 19.pdf,Enforcement Letter,09/2019,https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1383/enforcement letter/2019/Life Care of Richland (Hx E prior D) 8 29 19.pdf,Tue Jun  9 15:23:35 2020
43507,LIFE CARE CENTER OF RICHLAND,Life Care of Richland (Hx D prior G) 3 29 19.pdf,Enforcement Letter,04/2019,https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1383/enforcement letter/2019/Life Care of Richland (Hx D prior G) 3 29 19.pdf,Tue Jun  9 15:23:37 2020
43507,LIFE CARE CENTER OF RICHLAND,"Life Care of Richland (G, CMP, CF) 3 1 19.pdf",Enforcement Letter,03/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1383/enforcement letter/2019/Life Care of Richland (G, CMP, CF) 3 1 19.pdf",Tue Jun  9 15:23:39 2020
43507,LIFE CARE CENTER OF RICHLAND,"Life Care of Richland (Hx, E, prior Past Non, prior E, CMP) 7 11 18.pdf",Enforcement Letter,07/2018,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1383/enforcement letter/2018/Life Care of Richland (Hx, E, prior Past Non, prior E, CMP) 7 11 18.pdf",Tue Jun  9 15:23:41 2020
43507,LIFE CARE CENTER OF RICHLAND,"Life Care of Richland (Hx, Past Non, prior E, CMP) 6 14 18.pdf",Enforcement Letter,06/2018,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1383/enforcement letter/2018/Life Care of Richland (Hx, Past Non, prior E, CMP) 6 14 18.pdf",Tue Jun  9 15:23:43 2020
43507,LIFE CARE CENTER OF RICHLAND,"Life Care Center of Richland (GG, CMP, CF) 11 22 17.pdf",Enforcement Letter,12/2017,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1383/enforcement letter/2017/Life Care Center of Richland (GG, CMP, CF) 11 22 17.pdf",Tue Jun  9 15:23:44 2020
43507,LIFE CARE CENTER OF RICHLAND,"Life Care of Richland (GG, CMP, CF) 8 30 17.pdf",Enforcement Letter,09/2017,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1383/enforcement letter/2017/Life Care of Richland (GG, CMP, CF) 8 30 17.pdf",Tue Jun  9 15:23:45 2020
43507,LIFE CARE CENTER OF RICHLAND,"Life Care of Richland (Hx G prior G,  CMP, CF) 6 17.pdf",Enforcement Letter,07/2017,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1383/enforcement letter/2017/Life Care of Richland (Hx G prior G,  CMP, CF) 6 17.pdf",Tue Jun  9 15:23:46 2020
43507,LIFE CARE CENTER OF RICHLAND,"Life Care of Richland (G, CMP, CF) 6 17.pdf",Enforcement Letter,06/2017,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1383/enforcement letter/2017/Life Care of Richland (G, CMP, CF) 6 17.pdf",Tue Jun  9 15:23:47 2020
44102,Regency Canyon Lakes Rehabilitation and Nursing Center,"Regency at Canyon Lakes (GG, CMP CF) 2 21 19.pdf",Enforcement Letter,03/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1537/enforcement letter/2019/Regency at Canyon Lakes (GG, CMP CF) 2 21 19.pdf",Tue Jun  9 15:23:59 2020
44102,Regency Canyon Lakes Rehabilitation and Nursing Center,"Regency at Canyon Lakes (Hx G, prior GG, CMP CF) 2 27 19.pdf",Enforcement Letter,03/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1537/enforcement letter/2019/Regency at Canyon Lakes (Hx G, prior GG, CMP CF) 2 27 19.pdf",Tue Jun  9 15:24:01 2020
44102,Regency Canyon Lakes Rehabilitation and Nursing Center,"Regency Canyon Lakes Rehab and Nursing Center (Hx D prior G, CMP) 12 17 18.pdf",Enforcement Letter,12/2018,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1537/enforcement letter/2018/Regency Canyon Lakes Rehab and Nursing Center (Hx D prior G, CMP) 12 17 18.pdf",Tue Jun  9 15:24:03 2020
44102,Regency Canyon Lakes Rehabilitation and Nursing Center,Regency Canyon Lakes Rehab & Nursing (Hx D prior D) 7 30 18.pdf,Enforcement Letter,07/2018,https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1537/enforcement letter/2018/Regency Canyon Lakes Rehab & Nursing (Hx D prior D) 7 30 18.pdf,Tue Jun  9 15:24:05 2020
43572,RICHLAND REHABILITATION CENTER,"Richland Rehab (G, CMP, CF) 6 27 19.pdf",Enforcement Letter,07/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1452/enforcement letter/2019/Richland Rehab (G, CMP, CF) 6 27 19.pdf",Tue Jun  9 15:24:16 2020
43572,RICHLAND REHABILITATION CENTER,"Richland Rehab (D prior D, CMP) 10 18 17.pdf",Enforcement Letter,10/2017,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1452/enforcement letter/2017/Richland Rehab (D prior D, CMP) 10 18 17.pdf",Tue Jun  9 15:24:17 2020
45395,Cashmere Care Center,"Cashmere Care Center (D, DCH, CF) 7 31 19.pdf",Enforcement Letter,08/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1588/enforcement letter/2019/Cashmere Care Center (D, DCH, CF) 7 31 19.pdf",Tue Jun  9 15:24:27 2020
45395,Cashmere Care Center,"Cashmere Care Center (IJ, R, SUB, CMP, CF) 12 12 18.pdf",Enforcement Letter,12/2018,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1588/enforcement letter/2018/Cashmere Care Center (IJ, R, SUB, CMP, CF) 12 12 18.pdf",Tue Jun  9 15:24:29 2020
45395,Cashmere Care Center,"Cashmere Care Center (G, CMP, CF) 5 25 18.pdf",Enforcement Letter,06/2018,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1588/enforcement letter/2018/Cashmere Care Center (G, CMP, CF) 5 25 18.pdf",Tue Jun  9 15:24:30 2020
45395,Cashmere Care Center,"Cashmere Care Center (Hx D, prior G, CMP, CF) 5 25 18.pdf",Enforcement Letter,06/2018,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1588/enforcement letter/2018/Cashmere Care Center (Hx D, prior G, CMP, CF) 5 25 18.pdf",Tue Jun  9 15:24:32 2020
45395,Cashmere Care Center,"Cashmere Convalescent (G, CMP, CF) 11 7 17.pdf",Enforcement Letter,11/2017,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1588/enforcement letter/2017/Cashmere Convalescent (G, CMP, CF) 11 7 17.pdf",Tue Jun  9 15:24:33 2020
44287,Colonial Vista Post Acute & Rehabilitation Center,Colonial Vista Care Centers (D prior F) 9 5 19.pdf,Enforcement Letter,09/2019,https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1541/enforcement letter/2019/Colonial Vista Care Centers (D prior F) 9 5 19.pdf,Tue Jun  9 15:24:46 2020
44287,Colonial Vista Post Acute & Rehabilitation Center,"Colonial Vista (GG, CMP, CF) 5 9 18.pdf",Enforcement Letter,05/2018,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1541/enforcement letter/2018/Colonial Vista (GG, CMP, CF) 5 9 18.pdf",Tue Jun  9 15:24:47 2020
44287,Colonial Vista Post Acute & Rehabilitation Center,"Colonial Vista (GG, CMP, CF) 3 20 18.pdf",Enforcement Letter,03/2018,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1541/enforcement letter/2018/Colonial Vista (GG, CMP, CF) 3 20 18.pdf",Tue Jun  9 15:24:48 2020
43498,AVAMERE OLYMPIC REHABILITATION OF SEQUIM,"Avamere Olympic of Sequim (Hx F, prior D) 11 14 19.pdf",Enforcement Letter,11/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1374/enforcement letter/2019/Avamere Olympic of Sequim (Hx F, prior D) 11 14 19.pdf",Tue Jun  9 15:25:01 2020
43498,AVAMERE OLYMPIC REHABILITATION OF SEQUIM,"Avamere Olympic of Sequim (FP, prior D, CMP, CF) 12 27 18.pdf",Enforcement Letter,01/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1374/enforcement letter/2019/Avamere Olympic of Sequim (FP, prior D, CMP, CF) 12 27 18.pdf",Tue Jun  9 15:25:03 2020
43498,AVAMERE OLYMPIC REHABILITATION OF SEQUIM,"Avamere Olympic of Sequim Amended (G, CMP, CF) 10 24 18.pdf",Enforcement Letter,12/2018,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1374/enforcement letter/2018/Avamere Olympic of Sequim Amended (G, CMP, CF) 10 24 18.pdf",Tue Jun  9 15:25:05 2020
43498,AVAMERE OLYMPIC REHABILITATION OF SEQUIM,"Avamere OLympic of Sequim (IJ, R, CMP, CF) 7 17.pdf",Enforcement Letter,07/2017,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1374/enforcement letter/2017/Avamere OLympic of Sequim (IJ, R, CMP, CF) 7 17.pdf",Tue Jun  9 15:25:06 2020
44666,Crestwood Health & Rehabilitation Center,Crestwood Health and Rehab (DCH) 4 14 20.pdf,Enforcement Letter,04/2020,https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1562/enforcement letter/2020/Crestwood Health and Rehab (DCH) 4 14 20.pdf,Tue Jun  9 15:25:17 2020
44666,Crestwood Health & Rehabilitation Center,"Crestwood Health and Rehab (3OOC D, prior F prior D) 2 12 20.pdf",Enforcement Letter,02/2020,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1562/enforcement letter/2020/Crestwood Health and Rehab (3OOC D, prior F prior D) 2 12 20.pdf",Tue Jun  9 15:25:19 2020
44666,Crestwood Health & Rehabilitation Center,Crestwood Health and Rehab (Hx F prior D) 2 7 20.pdf,Enforcement Letter,02/2020,https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1562/enforcement letter/2020/Crestwood Health and Rehab (Hx F prior D) 2 7 20.pdf,Tue Jun  9 15:25:21 2020
44666,Crestwood Health & Rehabilitation Center,Crestwood (5OOC DCH E prior E prior D prior D prior E) 11 14 19.pdf,Enforcement Letter,11/2019,https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1562/enforcement letter/2019/Crestwood (5OOC DCH E prior E prior D prior D prior E) 11 14 19.pdf,Tue Jun  9 15:25:23 2020
44666,Crestwood Health & Rehabilitation Center,"Crestwood (6OOC G, prior DCH E prior E prior D prior D prior E) 11 18 19.pdf",Enforcement Letter,11/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1562/enforcement letter/2019/Crestwood (6OOC G, prior DCH E prior E prior D prior D prior E) 11 18 19.pdf",Tue Jun  9 15:25:25 2020
44666,Crestwood Health & Rehabilitation Center,Crestwood (Hx D prior D prior E) 9 19 19.pdf,Enforcement Letter,10/2019,https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1562/enforcement letter/2019/Crestwood (Hx D prior D prior E) 9 19 19.pdf,Tue Jun  9 15:25:27 2020
44666,Crestwood Health & Rehabilitation Center,Crestwood (Hx D prior E) 9 17 19.pdf,Enforcement Letter,10/2019,https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1562/enforcement letter/2019/Crestwood (Hx D prior E) 9 17 19.pdf,Tue Jun  9 15:25:29 2020
44666,Crestwood Health & Rehabilitation Center,Crestwood (4OOC E prior D prior D prior E) 10 09 19.pdf,Enforcement Letter,10/2019,https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1562/enforcement letter/2019/Crestwood (4OOC E prior D prior D prior E) 10 09 19.pdf,Tue Jun  9 15:25:31 2020
44666,Crestwood Health & Rehabilitation Center,"Crestwood (3OOC, G, prior D prior F, CMP, CF) 6 21 19.pdf",Enforcement Letter,07/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1562/enforcement letter/2019/Crestwood (3OOC, G, prior D prior F, CMP, CF) 6 21 19.pdf",Tue Jun  9 15:25:33 2020
44666,Crestwood Health & Rehabilitation Center,"Crestwood (4OOC, DCH, prior G, prior D prior F, CMP, CF) 7 9 19.pdf",Enforcement Letter,07/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1562/enforcement letter/2019/Crestwood (4OOC, DCH, prior G, prior D prior F, CMP, CF) 7 9 19.pdf",Tue Jun  9 15:25:35 2020
44666,Crestwood Health & Rehabilitation Center,Crestwood (Hx D prior F) 4 16 19.pdf,Enforcement Letter,04/2019,https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1562/enforcement letter/2019/Crestwood (Hx D prior F) 4 16 19.pdf,Tue Jun  9 15:25:37 2020
44666,Crestwood Health & Rehabilitation Center,"Crestwood (Hx E, prior G prior D) 11 16 18.pdf",Enforcement Letter,12/2018,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1562/enforcement letter/2018/Crestwood (Hx E, prior G prior D) 11 16 18.pdf",Tue Jun  9 15:25:39 2020
44666,Crestwood Health & Rehabilitation Center,"Crestwood (Hx GG prior D, CMP, CF) 3 23 18.pdf",Enforcement Letter,04/2018,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1562/enforcement letter/2018/Crestwood (Hx GG prior D, CMP, CF) 3 23 18.pdf",Tue Jun  9 15:25:40 2020
44666,Crestwood Health & Rehabilitation Center,"Crestwood Health and Rehab Amended (DCH, Wac, CF) 10 6 17.pdf",Enforcement Letter,11/2017,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1562/enforcement letter/2017/Crestwood Health and Rehab Amended (DCH, Wac, CF) 10 6 17.pdf",Tue Jun  9 15:25:41 2020
44666,Crestwood Health & Rehabilitation Center,"Crestwood Health and Rehab  (DCH, Wac, CF) 10 6 17.pdf",Enforcement Letter,10/2017,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1562/enforcement letter/2017/Crestwood Health and Rehab  (DCH, Wac, CF) 10 6 17.pdf",Tue Jun  9 15:25:42 2020
44666,Crestwood Health & Rehabilitation Center,"Crestwood (GG, CMP, CF) 10 6 2017.pdf",Enforcement Letter,10/2017,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1562/enforcement letter/2017/Crestwood (GG, CMP, CF) 10 6 2017.pdf",Tue Jun  9 15:25:43 2020
44666,Crestwood Health & Rehabilitation Center,"Crestwood (H, CMP, CF) 9 17.pdf",Enforcement Letter,09/2017,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1562/enforcement letter/2017/Crestwood (H, CMP, CF) 9 17.pdf",Tue Jun  9 15:25:44 2020
44666,Crestwood Health & Rehabilitation Center,"Crestwood (Wac Only, CF, DCH) 8 17.pdf",Enforcement Letter,08/2017,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1562/enforcement letter/2017/Crestwood (Wac Only, CF, DCH) 8 17.pdf",Tue Jun  9 15:25:45 2020
44666,Crestwood Health & Rehabilitation Center,Crestwood HRD quarterly fining Amended 5 17.pdf,Enforcement Letter,06/2017,https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1562/enforcement letter/2017/Crestwood HRD quarterly fining Amended 5 17.pdf,Tue Jun  9 15:25:46 2020
42556,FORKS COMMUNITY HOSPITAL LTC UNIT,"Forks Community Hospital (4OOC, D, prior G, prior D prior G) 4 3 19.pdf",Enforcement Letter,04/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/54/enforcement letter/2019/Forks Community Hospital (4OOC, D, prior G, prior D prior G) 4 3 19.pdf",Tue Jun  9 15:26:03 2020
42556,FORKS COMMUNITY HOSPITAL LTC UNIT,"Forks Community Hospital (Hx D prior G, CMP) 2 25 19.pdf",Enforcement Letter,03/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/54/enforcement letter/2019/Forks Community Hospital (Hx D prior G, CMP) 2 25 19.pdf",Tue Jun  9 15:26:05 2020
42556,FORKS COMMUNITY HOSPITAL LTC UNIT,"Forks Community Hospital (G, CMP) 1 28 19.pdf",Enforcement Letter,02/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/54/enforcement letter/2019/Forks Community Hospital (G, CMP) 1 28 19.pdf",Tue Jun  9 15:26:06 2020
44665,Sequim Health & Rehabilitation Center,"Sequim Health and Rehab (Hx G, Cf, CMP, prior D) 2 12 20.pdf",Enforcement Letter,02/2020,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1563/enforcement letter/2020/Sequim Health and Rehab (Hx G, Cf, CMP, prior D) 2 12 20.pdf",Tue Jun  9 15:26:15 2020
44665,Sequim Health & Rehabilitation Center,"Sequim Heath and Rehab (Hx D, prior D prior GG) 10 25 19.pdf",Enforcement Letter,11/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1563/enforcement letter/2019/Sequim Heath and Rehab (Hx D, prior D prior GG) 10 25 19.pdf",Tue Jun  9 15:26:18 2020
44665,Sequim Health & Rehabilitation Center,"Sequim Heath and Rehab (Hx D prior GG, CMP CF) 10 9 19.pdf",Enforcement Letter,10/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1563/enforcement letter/2019/Sequim Heath and Rehab (Hx D prior GG, CMP CF) 10 9 19.pdf",Tue Jun  9 15:26:20 2020
44665,Sequim Health & Rehabilitation Center,"Sequim Health and Rehab (G. CMP, CF) 4 5 19.pdf",Enforcement Letter,04/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1563/enforcement letter/2019/Sequim Health and Rehab (G. CMP, CF) 4 5 19.pdf",Tue Jun  9 15:26:22 2020
44665,Sequim Health & Rehabilitation Center,"Sequim Health and Rehab (GG, CMP, SUB, CF) 1 26 18.pdf",Enforcement Letter,02/2018,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1563/enforcement letter/2018/Sequim Health and Rehab (GG, CMP, SUB, CF) 1 26 18.pdf",Tue Jun  9 15:26:23 2020
44665,Sequim Health & Rehabilitation Center,"Sequim Health and Rehab (GG, CMP, CF) 6 17.pdf",Enforcement Letter,07/2017,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1563/enforcement letter/2017/Sequim Health and Rehab (GG, CMP, CF) 6 17.pdf",Tue Jun  9 15:26:24 2020
43672,Avamere Rehabilitation of Cascade Park,"Avamere Rehab of Cascade Park (G, CMP, CF) 3 9 20.pdf",Enforcement Letter,03/2020,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1508/enforcement letter/2020/Avamere Rehab of Cascade Park (G, CMP, CF) 3 9 20.pdf",Tue Jun  9 15:26:38 2020
43672,Avamere Rehabilitation of Cascade Park,"Avamere Rehab of Cascade Park (GG, CMP, CF) 5 29 19.pdf",Enforcement Letter,06/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1508/enforcement letter/2019/Avamere Rehab of Cascade Park (GG, CMP, CF) 5 29 19.pdf",Tue Jun  9 15:26:40 2020
43672,Avamere Rehabilitation of Cascade Park,"Avamere Rehab of Cascade Park (G, CMP, CF) 1 29 19.pdf",Enforcement Letter,02/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1508/enforcement letter/2019/Avamere Rehab of Cascade Park (G, CMP, CF) 1 29 19.pdf",Tue Jun  9 15:26:42 2020
44531,Brookfield Health and Rehabilitation of Cascadia,Brookfield Cascadia (Hx D prior GG) 2 15 19.pdf,Enforcement Letter,03/2019,https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1552/enforcement letter/2019/Brookfield Cascadia (Hx D prior GG) 2 15 19.pdf,Tue Jun  9 15:26:51 2020
44531,Brookfield Health and Rehabilitation of Cascadia,"Brookfield Cascadia (Hx D prior G, prior G) 2 28 19.pdf",Enforcement Letter,03/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1552/enforcement letter/2019/Brookfield Cascadia (Hx D prior G, prior G) 2 28 19.pdf",Tue Jun  9 15:26:53 2020
44531,Brookfield Health and Rehabilitation of Cascadia,"Brookfield Cascadia (GG, CMP, CF) 1 14 19.pdf",Enforcement Letter,01/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1552/enforcement letter/2019/Brookfield Cascadia (GG, CMP, CF) 1 14 19.pdf",Tue Jun  9 15:26:55 2020
44531,Brookfield Health and Rehabilitation of Cascadia,"Brookfield Cascadia Amended (Hx, GG, Amend DCH, Prior G, CMP, CF) 4 11 18.pdf",Enforcement Letter,05/2018,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1552/enforcement letter/2018/Brookfield Cascadia Amended (Hx, GG, Amend DCH, Prior G, CMP, CF) 4 11 18.pdf",Tue Jun  9 15:26:56 2020
44531,Brookfield Health and Rehabilitation of Cascadia,"Brookfield Cascadia (Lift SP, BIC) 5 22 18.pdf",Enforcement Letter,05/2018,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1552/enforcement letter/2018/Brookfield Cascadia (Lift SP, BIC) 5 22 18.pdf",Tue Jun  9 15:26:57 2020
44531,Brookfield Health and Rehabilitation of Cascadia,"Brookfield Cascadia (3 OOC, Sub, Hx, GG, Amend DCH, Prior G, CMP, CF) 4 25 18.pdf",Enforcement Letter,04/2018,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1552/enforcement letter/2018/Brookfield Cascadia (3 OOC, Sub, Hx, GG, Amend DCH, Prior G, CMP, CF) 4 25 18.pdf",Tue Jun  9 15:26:58 2020
44531,Brookfield Health and Rehabilitation of Cascadia,"Brookfield Cascadia (Hx, GG, Amend DCH, Prior G, CMP, CF) 4 11 18.pdf",Enforcement Letter,04/2018,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1552/enforcement letter/2018/Brookfield Cascadia (Hx, GG, Amend DCH, Prior G, CMP, CF) 4 11 18.pdf",Tue Jun  9 15:26:59 2020
