pdf_name,page,image_based,letter_dt,survey_dt,survey_type,vendor_num,fed_num,aem_num,action,fed_enforcement,nc_hist,epoc,state_rem,appeal_rights,finding_code,finding_desc,wac_long,wac_short,subchp_num,subchp_name,section,section_desc,cmp_item,cmp_agg
"Alaska Gardens (OSFM IJ, R, G, CMP, CF) 4 4 19.pdf",1,FALSE,4/18/19,4/4/19,full standard health survey and complaint investigation ,4113973,505483,WA3ZBI,IMPOSITION OF A CIVIL FINE,FALSE,FALSE,FALSE,FALSE,FALSE,G,isolated deficiencies that constitute actual harm that is not immediate jeopardy,,,,,,,,
"Alaska Gardens (OSFM IJ, R, G, CMP, CF) 4 4 19.pdf",2,FALSE,4/18/19,4/4/19,full standard health survey and complaint investigation ,4113973,505483,WA3ZBI,IMPOSITION OF A CIVIL FINE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,
"Alaska Gardens (OSFM IJ, R, G, CMP, CF) 4 4 19.pdf",3,FALSE,4/18/19,4/4/19,full standard health survey and complaint investigation ,4113973,505483,WA3ZBI,IMPOSITION OF A CIVIL FINE,FALSE,FALSE,FALSE,FALSE,TRUE,,,388-97-2080,388-97-2080,SUBCHAPTER II,PHYSICAL ENVIRONMENT,General,"Fire standards and approval, and other standards.",3000,
"Alaska Gardens (OSFM IJ, R, G, CMP, CF) 4 4 19.pdf",3,FALSE,4/18/19,4/4/19,full standard health survey and complaint investigation ,4113973,505483,WA3ZBI,IMPOSITION OF A CIVIL FINE,FALSE,FALSE,FALSE,FALSE,TRUE,,,388-97-1060(3)(g),388-97-1060,SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Quality of Care,Quality of care.,1000,
"Alaska Gardens (OSFM IJ, R, G, CMP, CF) 4 4 19.pdf",4,FALSE,4/18/19,4/4/19,full standard health survey and complaint investigation ,4113973,505483,WA3ZBI,IMPOSITION OF A CIVIL FINE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,4000
"Alaska Gardens (OSFM IJ, R, G, CMP, CF) 4 4 19.pdf",5,FALSE,4/18/19,4/4/19,full standard health survey and complaint investigation ,4113973,505483,WA3ZBI,IMPOSITION OF A CIVIL FINE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
"Alaska Gardens Health (G, CMP, CF) 2 20 18.pdf",1,FALSE,2/27/18,2/20/18,complaint investigation ,4113973,505483,WAMJ5U,IMPOSITION OF CIVIL FINES,FALSE,FALSE,TRUE,FALSE,FALSE,G,isolated deficiencies that constitute actual harm that is not immediate jeopardy,,,,,,,,
"Alaska Gardens Health (G, CMP, CF) 2 20 18.pdf",2,FALSE,2/27/18,2/20/18,complaint investigation ,4113973,505483,WAMJ5U,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,TRUE,FALSE,,,388-97-1060(3)(g),388-97-1060,SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Quality of Care,Quality of care.,1000,
"Alaska Gardens Health (G, CMP, CF) 2 20 18.pdf",3,FALSE,2/27/18,2/20/18,complaint investigation ,4113973,505483,WAMJ5U,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
"Alaska Gardens Health (G, CMP, CF) 2 20 18.pdf",4,FALSE,2/27/18,2/20/18,complaint investigation ,4113973,505483,WAMJ5U,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,1000
"Alaska Gardens Health (G, CMP, CF) 2 20 18.pdf",5,FALSE,2/27/18,2/20/18,complaint investigation ,4113973,505483,WAMJ5U,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
"Aldercrest ( 2nd Hx GG, prior G, prior D) 5 2 19.pdf",1,FALSE,5/10/19,5/2/19,unannounced complaint investigation ,4115571,505236,WAH58N,,TRUE,TRUE,FALSE,FALSE,FALSE,D,isolated deficiencies that constitute no actual harm with potential for more than minimal harm that is not immediate jeopardy,,,,,,,,
"Aldercrest ( 2nd Hx GG, prior G, prior D) 5 2 19.pdf",2,FALSE,5/10/19,5/2/19,unannounced complaint investigation ,4115571,505236,WAH58N,,FALSE,FALSE,TRUE,FALSE,FALSE,D,isolated deficiencies that constitute no actual harm with potential for more than minimal harm that is not immediate jeopardy,,,,,,,,
"Aldercrest ( 2nd Hx GG, prior G, prior D) 5 2 19.pdf",3,FALSE,5/10/19,5/2/19,unannounced complaint investigation ,4115571,505236,WAH58N,,FALSE,FALSE,FALSE,TRUE,TRUE,,,,,,,,,,
"Aldercrest ( 2nd Hx GG, prior G, prior D) 5 2 19.pdf",4,FALSE,5/10/19,5/2/19,unannounced complaint investigation ,4115571,505236,WAH58N,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
"Aldercrest (Failed Post, prior GG, CMP, CF) 7 19 18.pdf",1,FALSE,9/25/18,9/12/18,failed post revisit ,4115571,505236,452K12,IMPOSITION OF CIVIL FINES,FALSE,TRUE,FALSE,FALSE,FALSE,G,isolated deficiencies that constitute actual harm that is not immediate jeopardy,,,,,,,,
"Aldercrest (Failed Post, prior GG, CMP, CF) 7 19 18.pdf",2,FALSE,9/25/18,9/12/18,failed post revisit ,4115571,505236,452K12,IMPOSITION OF CIVIL FINES,FALSE,FALSE,TRUE,TRUE,FALSE,,,388-97-1060(3)(c),388-97-1060,SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Quality of Care,Quality of care.,500,
"Aldercrest (Failed Post, prior GG, CMP, CF) 7 19 18.pdf",3,FALSE,9/25/18,9/12/18,failed post revisit ,4115571,505236,452K12,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
"Aldercrest (Failed Post, prior GG, CMP, CF) 7 19 18.pdf",4,FALSE,9/25/18,9/12/18,failed post revisit ,4115571,505236,452K12,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
"Aldercrest (GG, CMP, CF) 8 17.pdf",1,FALSE,8/15/17,8/2/17,unannounced quality indicator survey (qis) full standard health survey and complaint investigation ,4115201,505236,WAR8H0,IMPOSITION OF CIVIL FINES,TRUE,FALSE,FALSE,FALSE,FALSE,G,isolated deficiencies that constitute actual harm that is not immediate jeopardy,,,,,,,,
"Aldercrest (GG, CMP, CF) 8 17.pdf",2,FALSE,8/15/17,8/2/17,unannounced quality indicator survey (qis) full standard health survey and complaint investigation ,4115201,505236,WAR8H0,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,TRUE,FALSE,,,388-97-0960(1),388-97-0960,SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Quality of Life,Social services.,1000,
"Aldercrest (GG, CMP, CF) 8 17.pdf",3,FALSE,8/15/17,8/2/17,unannounced quality indicator survey (qis) full standard health survey and complaint investigation ,4115201,505236,WAR8H0,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,TRUE,,,388-97-1620(2)(b),388-97-1620,SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Administration,General administration.,1000,
"Aldercrest (GG, CMP, CF) 8 17.pdf",3,FALSE,8/15/17,8/2/17,unannounced quality indicator survey (qis) full standard health survey and complaint investigation ,4115201,505236,WAR8H0,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,TRUE,,,388-97-1060(1),388-97-1060,SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Quality of Care,Quality of care.,1000,
"Aldercrest (GG, CMP, CF) 8 17.pdf",3,FALSE,8/15/17,8/2/17,unannounced quality indicator survey (qis) full standard health survey and complaint investigation ,4115201,505236,WAR8H0,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,TRUE,,,388-97-1060(3)(b),388-97-1060,SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Quality of Care,Quality of care.,1000,
"Aldercrest (GG, CMP, CF) 8 17.pdf",4,FALSE,8/15/17,8/2/17,unannounced quality indicator survey (qis) full standard health survey and complaint investigation ,4115201,505236,WAR8H0,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,4000
"Aldercrest (GG, CMP, CF) 8 17.pdf",5,FALSE,8/15/17,8/2/17,unannounced quality indicator survey (qis) full standard health survey and complaint investigation ,4115201,505236,WAR8H0,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
"Aldercrest (Hx GG, CMP, CF, prior D) 3 20 19.pdf",1,FALSE,4/3/19,3/20/19,unannounced complaint investigation ,4115571,505236,WAH58N,IMPOSITION OF CIVIL FINES,TRUE,TRUE,FALSE,FALSE,FALSE,G,isolated deficiencies that constitute actual harm that is not immediate jeopardy,,,,,,,,
"Aldercrest (Hx GG, CMP, CF, prior D) 3 20 19.pdf",2,FALSE,4/3/19,3/20/19,unannounced complaint investigation ,4115571,505236,WAH58N,IMPOSITION OF CIVIL FINES,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,
"Aldercrest (Hx GG, CMP, CF, prior D) 3 20 19.pdf",3,FALSE,4/3/19,3/20/19,unannounced complaint investigation ,4115571,505236,WAH58N,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,TRUE,,,388-97-1060(1),388-97-1060,SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Quality of Care,Quality of care.,1500,
"Aldercrest (Hx GG, CMP, CF, prior D) 3 20 19.pdf",3,FALSE,4/3/19,3/20/19,unannounced complaint investigation ,4115571,505236,WAH58N,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,TRUE,,,388-97-1060(1),388-97-1060,SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Quality of Care,Quality of care.,500,
"Aldercrest (Hx GG, CMP, CF, prior D) 3 20 19.pdf",4,FALSE,4/3/19,3/20/19,unannounced complaint investigation ,4115571,505236,WAH58N,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,2000
"Aldercrest (Hx GG, CMP, CF, prior D) 3 20 19.pdf",5,FALSE,4/3/19,3/20/19,unannounced complaint investigation ,4115571,505236,WAH58N,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
"Aldercrest (Hx GG, CMP, CF, prior D) 4 25 18.pdf",1,FALSE,5/9/18,4/25/18,unannounced complaint investigation ,4115571,505236,WAU8KI,IMPOSITION OF CIVIL FINES,FALSE,TRUE,FALSE,FALSE,FALSE,G,isolated deficiencies that constitute actual harm that is not immediate jeopardy,,,,,,,,
"Aldercrest (Hx GG, CMP, CF, prior D) 4 25 18.pdf",2,FALSE,5/9/18,4/25/18,unannounced complaint investigation ,4115571,505236,WAU8KI,IMPOSITION OF CIVIL FINES,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,
"Aldercrest (Hx GG, CMP, CF, prior D) 4 25 18.pdf",3,FALSE,5/9/18,4/25/18,unannounced complaint investigation ,4115571,505236,WAU8KI,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,TRUE,,,388-97-1060(1),388-97-1060,SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Quality of Care,Quality of care.,1000,
"Aldercrest (Hx GG, CMP, CF, prior D) 4 25 18.pdf",4,FALSE,5/9/18,4/25/18,unannounced complaint investigation ,4115571,505236,WAU8KI,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,1000
"Aldercrest (Hx GG, CMP, CF, prior D) 4 25 18.pdf",5,FALSE,5/9/18,4/25/18,unannounced complaint investigation ,4115571,505236,WAU8KI,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
"Aldercrest (Hx GG, CMP, CF, prior G, prior D) 6 15 18.pdf",1,FALSE,6/21/18,6/15/18,full standard health survey / complaint investigation ,4115571,505236,WAU8KI,IMPOSITION OF CIVIL FINES,TRUE,TRUE,FALSE,FALSE,FALSE,G,isolated deficiencies that constitute actual harm that is not immediate jeopardy,,,,,,,,
"Aldercrest (Hx GG, CMP, CF, prior G, prior D) 6 15 18.pdf",2,FALSE,6/21/18,6/15/18,full standard health survey / complaint investigation ,4115571,505236,WAU8KI,IMPOSITION OF CIVIL FINES,FALSE,FALSE,TRUE,FALSE,FALSE,D,isolated deficiencies that constitute no actual harm with potential for more than minimal harm that is not immediate jeopardy,,,,,,,,
"Aldercrest (Hx GG, CMP, CF, prior G, prior D) 6 15 18.pdf",3,FALSE,6/21/18,6/15/18,full standard health survey / complaint investigation ,4115571,505236,WAU8KI,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,TRUE,TRUE,,,388-97-1060(3)(g),388-97-1060,SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Quality of Care,Quality of care.,1000,
"Aldercrest (Hx GG, CMP, CF, prior G, prior D) 6 15 18.pdf",4,FALSE,6/21/18,6/15/18,full standard health survey / complaint investigation ,4115571,505236,WAU8KI,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,1000
"Aldercrest (Hx GG, CMP, CF, prior G, prior D) 6 15 18.pdf",5,FALSE,6/21/18,6/15/18,full standard health survey / complaint investigation ,4115571,505236,WAU8KI,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
"Aldercrest Health & Rehab (GG, CMP, CF) 7 19 18.pdf",1,FALSE,7/31/18,7/19/18,unannounced full standard health survey and complaint investigation ,4115571,505236,WA0ACC,IMPOSITION OF CIVIL FINES,TRUE,FALSE,FALSE,FALSE,FALSE,G,isolated deficiencies that constitute actual harm that is not immediate jeopardy,,,,,,,,
"Aldercrest Health & Rehab (GG, CMP, CF) 7 19 18.pdf",2,FALSE,7/31/18,7/19/18,unannounced full standard health survey and complaint investigation ,4115571,505236,WA0ACC,IMPOSITION OF CIVIL FINES,FALSE,FALSE,TRUE,TRUE,FALSE,,,388-97-1060(3)(c),388-97-1060,SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Quality of Care,Quality of care.,500,
"Aldercrest Health & Rehab (GG, CMP, CF) 7 19 18.pdf",3,FALSE,7/31/18,7/19/18,unannounced full standard health survey and complaint investigation ,4115571,505236,WA0ACC,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
"Aldercrest Health & Rehab (GG, CMP, CF) 7 19 18.pdf",4,FALSE,7/31/18,7/19/18,unannounced full standard health survey and complaint investigation ,4115571,505236,WA0ACC,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,500
"Aldercrest Health (GG, CMP, CF) 1 17 18.pdf",1,FALSE,1/31/18,1/17/18,complaint investigation ,4115571,505236,WAP12K,IMPOSITION OF CIVIL FINES,FALSE,TRUE,FALSE,FALSE,FALSE,G,isolated deficiencies that constitute actual harm that is not immediate jeopardy,,,,,,,,
"Aldercrest Health (GG, CMP, CF) 1 17 18.pdf",2,FALSE,1/31/18,1/17/18,complaint investigation ,4115571,505236,WAP12K,IMPOSITION OF CIVIL FINES,TRUE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,
"Aldercrest Health (GG, CMP, CF) 1 17 18.pdf",3,FALSE,1/31/18,1/17/18,complaint investigation ,4115571,505236,WAP12K,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,TRUE,TRUE,,,388-97-1060(3)(g),388-97-1060,SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Quality of Care,Quality of care.,1000,
"Aldercrest Health (GG, CMP, CF) 1 17 18.pdf",4,FALSE,1/31/18,1/17/18,complaint investigation ,4115571,505236,WAP12K,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,1000
"Aldercrest Health (GG, CMP, CF) 1 17 18.pdf",5,FALSE,1/31/18,1/17/18,complaint investigation ,4115571,505236,WAP12K,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
