pdf_name,manual_cms_number,facility_name,letter_dt,survey_dt,survey_type,wac_short,wac_long,section,cmp_item,cmp_agg,finding_code,action,fed_enforcement,nc_hist,epoc,state_rem,appeal_rights
"Alaska Gardens (K, HX Prior Fg, Prior G, Prior D, SUB, SP, CMP, CF) 1 17 19.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2019-02-01,2019-01-17,unannounced abbreviated complaint investigation ,,,,,,,CONTINUED STOP PLACEMENT ON A LICENSE IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Alaska Gardens (Lift SP, BIC) 2 14 19.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2019-02-21,,,,,,,,,,False,False,False,False,False
"Alaska Gardens (OSFM IJ, R, G, CMP, CF) 4 4 19.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2019-04-18,2019-04-04,full standard health survey and complaint investigation ,,,,,,G,IMPOSITION OF A CIVIL FINE,False,False,False,False,False
"Alaska Gardens (OSFM IJ, R, G, CMP, CF) 4 4 19.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2019-04-18,2019-04-04,full standard health survey and complaint investigation ,,,,,,,IMPOSITION OF A CIVIL FINE,False,False,True,True,False
"Alaska Gardens (OSFM IJ, R, G, CMP, CF) 4 4 19.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2019-04-18,2019-04-04,full standard health survey and complaint investigation ,388-97-2080,388-97-2080,General,3000.0,,,IMPOSITION OF A CIVIL FINE,False,False,False,False,True
"Alaska Gardens (OSFM IJ, R, G, CMP, CF) 4 4 19.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2019-04-18,2019-04-04,full standard health survey and complaint investigation ,388-97-1060,388-97-1060(3)(g),Quality of Care,1000.0,,,IMPOSITION OF A CIVIL FINE,False,False,False,False,True
"Alaska Gardens (OSFM IJ, R, G, CMP, CF) 4 4 19.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2019-04-18,2019-04-04,full standard health survey and complaint investigation ,,,,,4000.0,,IMPOSITION OF A CIVIL FINE,False,False,False,False,False
"Alaska Gardens (OSFM IJ, R, G, CMP, CF) 4 4 19.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2019-04-18,2019-04-04,full standard health survey and complaint investigation ,,,,,,,IMPOSITION OF A CIVIL FINE,False,False,False,False,False
"Alaska Gardens Health (G, CMP, CF) 2 20 18.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2018-02-27,2018-02-20,complaint investigation ,,,,,,G,IMPOSITION OF CIVIL FINES,False,False,True,False,False
"Alaska Gardens Health (G, CMP, CF) 2 20 18.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2018-02-27,2018-02-20,complaint investigation ,388-97-1060,388-97-1060(3)(g),Quality of Care,1000.0,,,IMPOSITION OF CIVIL FINES,False,False,False,True,False
"Alaska Gardens Health (G, CMP, CF) 2 20 18.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2018-02-27,2018-02-20,complaint investigation ,,,,,,,IMPOSITION OF CIVIL FINES,False,False,False,False,True
"Alaska Gardens Health (G, CMP, CF) 2 20 18.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2018-02-27,2018-02-20,complaint investigation ,,,,,1000.0,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Alaska Gardens Health (G, CMP, CF) 2 20 18.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2018-02-27,2018-02-20,complaint investigation ,,,,,,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Aldercrest ( 2nd Hx GG, prior G, prior D) 5 2 19.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2019-05-10,2019-05-02,unannounced complaint investigation ,,,,,,D,,True,True,False,False,False
"Aldercrest ( 2nd Hx GG, prior G, prior D) 5 2 19.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2019-05-10,2019-05-02,unannounced complaint investigation ,,,,,,D,,False,False,True,False,False
"Aldercrest ( 2nd Hx GG, prior G, prior D) 5 2 19.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2019-05-10,2019-05-02,unannounced complaint investigation ,,,,,,,,False,False,False,True,True
"Aldercrest ( 2nd Hx GG, prior G, prior D) 5 2 19.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2019-05-10,2019-05-02,unannounced complaint investigation ,,,,,,,,False,False,False,False,False
"Aldercrest (Failed Post, prior GG, CMP, CF) 7 19 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-09-25,2018-09-12,failed post revisit ,,,,,,G,IMPOSITION OF CIVIL FINES,False,True,False,False,False
"Aldercrest (Failed Post, prior GG, CMP, CF) 7 19 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-09-25,2018-09-12,failed post revisit ,388-97-1060,388-97-1060(3)(c),Quality of Care,500.0,,,IMPOSITION OF CIVIL FINES,False,False,True,True,False
"Aldercrest (Failed Post, prior GG, CMP, CF) 7 19 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-09-25,2018-09-12,failed post revisit ,,,,,,,IMPOSITION OF CIVIL FINES,False,False,False,False,True
"Aldercrest (Failed Post, prior GG, CMP, CF) 7 19 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-09-25,2018-09-12,failed post revisit ,,,,,,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Aldercrest (GG, CMP, CF) 8 17.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2017-08-15,2017-08-02,unannounced quality indicator survey (qis) full standard health survey and complaint investigation ,,,,,,G,IMPOSITION OF CIVIL FINES,True,False,False,False,False
"Aldercrest (GG, CMP, CF) 8 17.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2017-08-15,2017-08-02,unannounced quality indicator survey (qis) full standard health survey and complaint investigation ,388-97-0960,388-97-0960(1),Quality of Life,1000.0,,,IMPOSITION OF CIVIL FINES,False,False,False,True,False
"Aldercrest (GG, CMP, CF) 8 17.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2017-08-15,2017-08-02,unannounced quality indicator survey (qis) full standard health survey and complaint investigation ,388-97-1620,388-97-1620(2)(b),Administration,1000.0,,,IMPOSITION OF CIVIL FINES,False,False,False,False,True
"Aldercrest (GG, CMP, CF) 8 17.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2017-08-15,2017-08-02,unannounced quality indicator survey (qis) full standard health survey and complaint investigation ,388-97-1060,388-97-1060(1),Quality of Care,1000.0,,,IMPOSITION OF CIVIL FINES,False,False,False,False,True
"Aldercrest (GG, CMP, CF) 8 17.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2017-08-15,2017-08-02,unannounced quality indicator survey (qis) full standard health survey and complaint investigation ,388-97-1060,388-97-1060(3)(b),Quality of Care,1000.0,,,IMPOSITION OF CIVIL FINES,False,False,False,False,True
"Aldercrest (GG, CMP, CF) 8 17.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2017-08-15,2017-08-02,unannounced quality indicator survey (qis) full standard health survey and complaint investigation ,,,,,4000.0,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Aldercrest (GG, CMP, CF) 8 17.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2017-08-15,2017-08-02,unannounced quality indicator survey (qis) full standard health survey and complaint investigation ,,,,,,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Aldercrest (Hx GG, CMP, CF, prior D) 3 20 19.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2019-04-03,2019-03-20,unannounced complaint investigation ,,,,,,G,IMPOSITION OF CIVIL FINES,True,True,False,False,False
"Aldercrest (Hx GG, CMP, CF, prior D) 3 20 19.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2019-04-03,2019-03-20,unannounced complaint investigation ,,,,,,,IMPOSITION OF CIVIL FINES,False,False,True,True,False
"Aldercrest (Hx GG, CMP, CF, prior D) 3 20 19.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2019-04-03,2019-03-20,unannounced complaint investigation ,388-97-1060,388-97-1060(1),Quality of Care,1500.0,,,IMPOSITION OF CIVIL FINES,False,False,False,False,True
"Aldercrest (Hx GG, CMP, CF, prior D) 3 20 19.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2019-04-03,2019-03-20,unannounced complaint investigation ,388-97-1060,388-97-1060(1),Quality of Care,500.0,,,IMPOSITION OF CIVIL FINES,False,False,False,False,True
"Aldercrest (Hx GG, CMP, CF, prior D) 3 20 19.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2019-04-03,2019-03-20,unannounced complaint investigation ,,,,,2000.0,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Aldercrest (Hx GG, CMP, CF, prior D) 3 20 19.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2019-04-03,2019-03-20,unannounced complaint investigation ,,,,,,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Aldercrest (Hx GG, CMP, CF, prior D) 4 25 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-05-09,2018-04-25,unannounced complaint investigation ,,,,,,G,IMPOSITION OF CIVIL FINES,False,True,False,False,False
"Aldercrest (Hx GG, CMP, CF, prior D) 4 25 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-05-09,2018-04-25,unannounced complaint investigation ,,,,,,,IMPOSITION OF CIVIL FINES,False,False,True,True,False
"Aldercrest (Hx GG, CMP, CF, prior D) 4 25 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-05-09,2018-04-25,unannounced complaint investigation ,388-97-1060,388-97-1060(1),Quality of Care,1000.0,,,IMPOSITION OF CIVIL FINES,False,False,False,False,True
"Aldercrest (Hx GG, CMP, CF, prior D) 4 25 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-05-09,2018-04-25,unannounced complaint investigation ,,,,,1000.0,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Aldercrest (Hx GG, CMP, CF, prior D) 4 25 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-05-09,2018-04-25,unannounced complaint investigation ,,,,,,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Aldercrest (Hx GG, CMP, CF, prior G, prior D) 6 15 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-06-21,2018-06-15,full standard health survey / complaint investigation ,,,,,,G,IMPOSITION OF CIVIL FINES,True,True,False,False,False
"Aldercrest (Hx GG, CMP, CF, prior G, prior D) 6 15 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-06-21,2018-06-15,full standard health survey / complaint investigation ,,,,,,D,IMPOSITION OF CIVIL FINES,False,False,True,False,False
"Aldercrest (Hx GG, CMP, CF, prior G, prior D) 6 15 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-06-21,2018-06-15,full standard health survey / complaint investigation ,388-97-1060,388-97-1060(3)(g),Quality of Care,1000.0,,,IMPOSITION OF CIVIL FINES,False,False,False,True,True
"Aldercrest (Hx GG, CMP, CF, prior G, prior D) 6 15 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-06-21,2018-06-15,full standard health survey / complaint investigation ,,,,,1000.0,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Aldercrest (Hx GG, CMP, CF, prior G, prior D) 6 15 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-06-21,2018-06-15,full standard health survey / complaint investigation ,,,,,,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Aldercrest Health & Rehab (GG, CMP, CF) 7 19 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-07-31,2018-07-19,unannounced full standard health survey and complaint investigation ,,,,,,G,IMPOSITION OF CIVIL FINES,True,False,False,False,False
"Aldercrest Health & Rehab (GG, CMP, CF) 7 19 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-07-31,2018-07-19,unannounced full standard health survey and complaint investigation ,388-97-1060,388-97-1060(3)(c),Quality of Care,500.0,,,IMPOSITION OF CIVIL FINES,False,False,True,True,False
"Aldercrest Health & Rehab (GG, CMP, CF) 7 19 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-07-31,2018-07-19,unannounced full standard health survey and complaint investigation ,,,,,,,IMPOSITION OF CIVIL FINES,False,False,False,False,True
"Aldercrest Health & Rehab (GG, CMP, CF) 7 19 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-07-31,2018-07-19,unannounced full standard health survey and complaint investigation ,,,,,500.0,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Aldercrest Health (GG, CMP, CF) 1 17 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-01-31,2018-01-17,complaint investigation ,,,,,,G,IMPOSITION OF CIVIL FINES,False,True,False,False,False
"Aldercrest Health (GG, CMP, CF) 1 17 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-01-31,2018-01-17,complaint investigation ,,,,,,,IMPOSITION OF CIVIL FINES,True,False,True,False,False
"Aldercrest Health (GG, CMP, CF) 1 17 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-01-31,2018-01-17,complaint investigation ,388-97-1060,388-97-1060(3)(g),Quality of Care,1000.0,,,IMPOSITION OF CIVIL FINES,False,False,False,True,True
"Aldercrest Health (GG, CMP, CF) 1 17 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-01-31,2018-01-17,complaint investigation ,,,,,1000.0,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Aldercrest Health (GG, CMP, CF) 1 17 18.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2018-01-31,2018-01-17,complaint investigation ,,,,,,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Aldercrest Health and Rehab Center (GG, CMP, CF) 8 15 19.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2019-08-20,2019-08-15,unannounced complaint investigation ,,,,,,G,IMPOSITION OF CIVIL FINES,True,False,False,False,False
"Aldercrest Health and Rehab Center (GG, CMP, CF) 8 15 19.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2019-08-20,2019-08-15,unannounced complaint investigation ,388-97-1060,388-97-1060(3)(b),Quality of Care,1000.0,,,IMPOSITION OF CIVIL FINES,False,False,True,True,False
"Aldercrest Health and Rehab Center (GG, CMP, CF) 8 15 19.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2019-08-20,2019-08-15,unannounced complaint investigation ,388-97-1060,388-97-1060(3)(g),Quality of Care,1000.0,,,IMPOSITION OF CIVIL FINES,False,False,True,True,False
"Aldercrest Health and Rehab Center (GG, CMP, CF) 8 15 19.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2019-08-20,2019-08-15,unannounced complaint investigation ,,,,,,,IMPOSITION OF CIVIL FINES,False,False,False,False,True
"Aldercrest Health and Rehab Center (GG, CMP, CF) 8 15 19.pdf",505236,ALDERCREST HEALTH & REHAB CENTER,2019-08-20,2019-08-15,unannounced complaint investigation ,,,,,2000.0,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Alderwood Manor (G, CMP, CF) 7 17.pdf",505257,ALDERWOOD MANOR,2017-07-31,2017-07-17,full standard health survey and complaint investigation ,,,,,,G,IMPOSITION OF CIVIL FINES,False,False,True,False,False
"Alderwood Manor (G, CMP, CF) 7 17.pdf",505257,ALDERWOOD MANOR,2017-07-31,2017-07-17,full standard health survey and complaint investigation ,,,,,,,IMPOSITION OF CIVIL FINES,False,False,False,True,False
"Alderwood Manor (G, CMP, CF) 7 17.pdf",505257,ALDERWOOD MANOR,2017-07-31,2017-07-17,full standard health survey and complaint investigation ,388-97-1060,388-97-1060(3)(b),Quality of Care,1000.0,,,IMPOSITION OF CIVIL FINES,False,False,False,False,True
"Alderwood Manor (G, CMP, CF) 7 17.pdf",505257,ALDERWOOD MANOR,2017-07-31,2017-07-17,full standard health survey and complaint investigation ,,,,,1000.0,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Alderwood Manor (G, CMP, CF) 7 17.pdf",505257,ALDERWOOD MANOR,2017-07-31,2017-07-17,full standard health survey and complaint investigation ,,,,,,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Alderwood Manor (GG, CMP, CF) 8 10 18.pdf",505257,ALDERWOOD MANOR,2018-08-17,2018-08-10,full standard health survey and complaint investigation ,,,,,,G,IMPOSITION OF CIVIL FINES,True,False,False,False,False
"Alderwood Manor (GG, CMP, CF) 8 10 18.pdf",505257,ALDERWOOD MANOR,2018-08-17,2018-08-10,full standard health survey and complaint investigation ,388-97-1060,388-97-1060(3)(d),Quality of Care,500.0,,,IMPOSITION OF CIVIL FINES,False,False,True,True,True
"Alderwood Manor (GG, CMP, CF) 8 10 18.pdf",505257,ALDERWOOD MANOR,2018-08-17,2018-08-10,full standard health survey and complaint investigation ,,,,,500.0,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Alderwood Manor (GG, CMP, CF) 8 10 18.pdf",505257,ALDERWOOD MANOR,2018-08-17,2018-08-10,full standard health survey and complaint investigation ,,,,,,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
Alderwood Manor (Hx D prior D) 4 17 19.pdf,505257,ALDERWOOD MANOR,2019-04-29,2019-04-17,unannounced complaint investigation ,,,,,,D,,False,True,False,False,False
Alderwood Manor (Hx D prior D) 4 17 19.pdf,505257,ALDERWOOD MANOR,2019-04-29,2019-04-17,unannounced complaint investigation ,,,,,,,,False,False,True,True,False
Alderwood Manor (Hx D prior D) 4 17 19.pdf,505257,ALDERWOOD MANOR,2019-04-29,2019-04-17,unannounced complaint investigation ,,,,,,,,False,False,False,False,True
Alderwood Manor (Hx D prior D) 4 17 19.pdf,505257,ALDERWOOD MANOR,2019-04-29,2019-04-17,unannounced complaint investigation ,,,,,,,,False,False,False,False,False
Alderwood Manor (Hx D prior D) 6 17.pdf,505257,ALDERWOOD MANOR,2017-06-15,2017-06-05,complaint investigation ,,,,,,D,,False,True,False,False,False
Alderwood Manor (Hx D prior D) 6 17.pdf,505257,ALDERWOOD MANOR,2017-06-15,2017-06-05,complaint investigation ,,,,,,,,False,False,True,True,True
Alderwood Manor (Hx D prior D) 6 17.pdf,505257,ALDERWOOD MANOR,2017-06-15,2017-06-05,complaint investigation ,,,,,,,,False,False,False,False,False
Alderwood Manor (Hx G prior G CMP CF) 8 17.pdf,505257,ALDERWOOD MANOR,2017-08-30,2017-08-17,complaint investigation ,,,,,,G,IMPOSITION OF CIVIL FINES,False,True,False,False,False
Alderwood Manor (Hx G prior G CMP CF) 8 17.pdf,505257,ALDERWOOD MANOR,2017-08-30,2017-08-17,complaint investigation ,,,,,,,IMPOSITION OF CIVIL FINES,False,False,True,True,False
Alderwood Manor (Hx G prior G CMP CF) 8 17.pdf,505257,ALDERWOOD MANOR,2017-08-30,2017-08-17,complaint investigation ,388-97-1060,388-97-1060(3)(k),Quality of Care,2000.0,,,IMPOSITION OF CIVIL FINES,False,False,False,False,True
Alderwood Manor (Hx G prior G CMP CF) 8 17.pdf,505257,ALDERWOOD MANOR,2017-08-30,2017-08-17,complaint investigation ,,,,,,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
