facility_name,facility_id,eventid,inspection_dt,tag,tag_group_num,tag_group_name,tag_old_new,severity_code,severity_desc,complaint,standard
PARK RIDGE CARE CENTER,505009,QC9611,2017-07-18,458,483.90,Physical Environment,Old,B,No actual harm with potential for minimal harm - Pattern,1.0,1.0
PARK RIDGE CARE CENTER,505009,DK0011,2017-10-05,225,483.12,"Freedom from Abuse, Neglect, and Exploitation",Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
PARK RIDGE CARE CENTER,505009,DK0011,2017-10-05,247,483.10,Resident Rights,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
PARK RIDGE CARE CENTER,505009,KSKS11,2018-08-27,697,483.25,Quality of Care,New,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
PARK RIDGE CARE CENTER,505009,KSKS11,2018-08-27,812,483.60,Food Services Areas,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
PARK RIDGE CARE CENTER,505009,83WP11,2019-08-22,600,483.12,"Freedom from Abuse, Neglect, and Exploitation",New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
PARK RIDGE CARE CENTER,505009,46FQ11,2019-11-08,640,483.20,Resident Assessment and Plan of Care,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
PARK RIDGE CARE CENTER,505009,46FQ11,2019-11-08,641,483.20,Resident Assessment and Plan of Care,New,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
PARK RIDGE CARE CENTER,505009,46FQ11,2019-11-08,684,483.25,Quality of Care,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
PARK RIDGE CARE CENTER,505009,46FQ11,2019-11-08,689,483.25,Quality of Care,New,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
PARK RIDGE CARE CENTER,505009,46FQ11,2019-11-08,757,483.45,Pharmacy Services,New,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
PARK RIDGE CARE CENTER,505009,46FQ11,2019-11-08,758,483.45,Pharmacy Services,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
PARK RIDGE CARE CENTER,505009,46FQ11,2019-11-08,791,483.55,Dental Services,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
PARK RIDGE CARE CENTER,505009,46FQ11,2019-11-08,804,483.60,Food Services Areas,New,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
PARK RIDGE CARE CENTER,505009,46FQ11,2019-11-08,912,483.90,Physical Environment,New,B,No actual harm with potential for minimal harm - Pattern,0.0,1.0
GARDEN VILLAGE,505010,8YCB11,2017-04-03,323,483.25,Quality of Care,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GARDEN VILLAGE,505010,0SN911,2017-05-11,159,483.10,Resident Rights,Old,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
GARDEN VILLAGE,505010,0SN911,2017-05-11,160,,,,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
GARDEN VILLAGE,505010,0SN911,2017-05-11,279,483.21,Comprehensive Resident Centered Care Plans,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GARDEN VILLAGE,505010,0SN911,2017-05-11,282,483.21,Comprehensive Resident Centered Care Plans,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GARDEN VILLAGE,505010,0SN911,2017-05-11,285,483.20,Resident Assessment and Plan of Care,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GARDEN VILLAGE,505010,0SN911,2017-05-11,309,483.25,Quality of Care,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GARDEN VILLAGE,505010,0SN911,2017-05-11,313,483.25,Quality of Care,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GARDEN VILLAGE,505010,0SN911,2017-05-11,323,483.25,Quality of Care,Old,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
GARDEN VILLAGE,505010,0SN911,2017-05-11,329,483.45,Pharmacy Services,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GARDEN VILLAGE,505010,0SN911,2017-05-11,334,483.80,Infection Control,Old,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
GARDEN VILLAGE,505010,0SN911,2017-05-11,371,483.60,Food Services Areas,Old,F,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Widespread,0.0,1.0
GARDEN VILLAGE,505010,0SN911,2017-05-11,428,483.45,Pharmacy Services,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GARDEN VILLAGE,505010,0SN911,2017-05-11,431,483.45,Pharmacy Services,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GARDEN VILLAGE,505010,0SN911,2017-05-11,441,483.80,Infection Control,Old,F,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Widespread,0.0,1.0
GARDEN VILLAGE,505010,2OST11,2017-06-15,226,483.12,"Freedom from Abuse, Neglect, and Exploitation",Old,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,1.0,0.0
GARDEN VILLAGE,505010,BJ9W11,2018-01-04,610,483.12,"Freedom from Abuse, Neglect, and Exploitation",New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GARDEN VILLAGE,505010,BJ9W11,2018-01-04,760,483.45,Pharmacy Services,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GARDEN VILLAGE,505010,13HX11,2018-06-14,604,483.12,"Freedom from Abuse, Neglect, and Exploitation",New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,1.0
GARDEN VILLAGE,505010,13HX11,2018-06-14,637,483.20,Resident Assessment and Plan of Care,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GARDEN VILLAGE,505010,13HX11,2018-06-14,645,483.20,Resident Assessment and Plan of Care,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GARDEN VILLAGE,505010,13HX11,2018-06-14,656,483.21,Comprehensive Resident Centered Care Plans,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GARDEN VILLAGE,505010,13HX11,2018-06-14,657,483.21,Comprehensive Resident Centered Care Plans,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,1.0
GARDEN VILLAGE,505010,13HX11,2018-06-14,686,483.25,Quality of Care,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GARDEN VILLAGE,505010,13HX11,2018-06-14,689,483.25,Quality of Care,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,1.0
GARDEN VILLAGE,505010,13HX11,2018-06-14,730,483.35,Nursing Services,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GARDEN VILLAGE,505010,13HX11,2018-06-14,758,483.45,Pharmacy Services,New,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,1.0,1.0
GARDEN VILLAGE,505010,13HX11,2018-06-14,812,483.60,Food Services Areas,New,F,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Widespread,0.0,1.0
GARDEN VILLAGE,505010,13HX11,2018-06-14,880,483.80,Infection Control,New,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
GARDEN VILLAGE,505010,74VP11,2018-08-09,689,483.25,Quality of Care,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GARDEN VILLAGE,505010,I5SZ11,2018-08-24,580,483.10,Resident Rights,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GARDEN VILLAGE,505010,I5SZ11,2018-08-24,600,483.12,"Freedom from Abuse, Neglect, and Exploitation",New,G,Actual harm that is not immediate jeopardy - Isolated,1.0,0.0
GARDEN VILLAGE,505010,I5SZ11,2018-08-24,621,483.15,"Admission, Transfer and Discharge",New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GARDEN VILLAGE,505010,F9QM11,2018-09-26,557,483.10,Resident Rights,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GARDEN VILLAGE,505010,F9QM11,2018-09-26,609,483.12,"Freedom from Abuse, Neglect, and Exploitation",New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GARDEN VILLAGE,505010,567Y11,2018-10-10,580,483.10,Resident Rights,New,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,1.0,0.0
GARDEN VILLAGE,505010,5Z5Z11,2018-10-19,760,483.45,Pharmacy Services,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GARDEN VILLAGE,505010,5DTC11,2019-01-09,600,483.12,"Freedom from Abuse, Neglect, and Exploitation",New,G,Actual harm that is not immediate jeopardy - Isolated,1.0,0.0
GARDEN VILLAGE,505010,Q74L11,2019-06-19,689,483.25,Quality of Care,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GARDEN VILLAGE,505010,YF0J11,2019-07-19,550,483.10,Resident Rights,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GARDEN VILLAGE,505010,YF0J11,2019-07-19,570,483.10,Resident Rights,New,B,No actual harm with potential for minimal harm - Pattern,0.0,1.0
GARDEN VILLAGE,505010,YF0J11,2019-07-19,582,483.10,Resident Rights,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GARDEN VILLAGE,505010,YF0J11,2019-07-19,684,483.25,Quality of Care,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GARDEN VILLAGE,505010,YF0J11,2019-07-19,692,483.25,Quality of Care,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GARDEN VILLAGE,505010,YF0J11,2019-07-19,712,483.30,Physician Services,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GARDEN VILLAGE,505010,YF0J11,2019-07-19,725,483.35,Nursing Services,New,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
GARDEN VILLAGE,505010,YF0J11,2019-07-19,758,483.45,Pharmacy Services,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,934N11,2017-09-18,170,483.10,Resident Rights,Old,C,No actual harm with potential for minimal harm - Widespread,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,934N11,2017-09-18,241,483.10,Resident Rights,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,934N11,2017-09-18,248,483.24,Quality of Life,Old,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,934N11,2017-09-18,279,483.21,Comprehensive Resident Centered Care Plans,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,934N11,2017-09-18,280,483.10,Resident Rights,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,934N11,2017-09-18,282,483.21,Comprehensive Resident Centered Care Plans,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,934N11,2017-09-18,311,483.24,Quality of Life,Old,G,Actual harm that is not immediate jeopardy - Isolated,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,934N11,2017-09-18,323,483.25,Quality of Care,Old,G,Actual harm that is not immediate jeopardy - Isolated,1.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,934N11,2017-09-18,329,483.45,Pharmacy Services,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,934N11,2017-09-18,371,483.60,Food Services Areas,Old,F,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Widespread,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,934N11,2017-09-18,406,483.65,Specialized Habilitative and Rehabilitative Services,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,934N11,2017-09-18,431,483.45,Pharmacy Services,Old,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,934N11,2017-09-18,514,483.70,Administration,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,P5OS11,2017-12-05,164,483.10,Resident Rights,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,P5OS11,2017-12-05,441,483.80,Infection Control,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,P5OS11,2017-12-05,462,483.90,Physical Environment,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,GL9111,2017-12-07,686,483.25,Quality of Care,New,G,Actual harm that is not immediate jeopardy - Isolated,1.0,0.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,GL9111,2017-12-07,842,483.70,Administration,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,HVR911,2018-04-06,660,483.21,Comprehensive Resident Centered Care Plans,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,HVR911,2018-04-06,842,483.70,Administration,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,XYDE11,2018-04-18,609,483.12,"Freedom from Abuse, Neglect, and Exploitation",New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,XYDE11,2018-04-18,655,483.21,Comprehensive Resident Centered Care Plans,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,XYDE11,2018-04-18,755,483.45,Pharmacy Services,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,PWRI11,2018-08-29,553,483.10,Resident Rights,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,PWRI11,2018-08-29,561,483.10,Resident Rights,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,PWRI11,2018-08-29,578,483.10,Resident Rights,New,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,PWRI11,2018-08-29,583,483.10,Resident Rights,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,PWRI11,2018-08-29,584,483.10,Resident Rights,New,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,PWRI11,2018-08-29,600,483.12,"Freedom from Abuse, Neglect, and Exploitation",New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,PWRI11,2018-08-29,625,483.15,"Admission, Transfer and Discharge",New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,PWRI11,2018-08-29,656,483.21,Comprehensive Resident Centered Care Plans,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,PWRI11,2018-08-29,684,483.25,Quality of Care,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,PWRI11,2018-08-29,686,483.25,Quality of Care,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,PWRI11,2018-08-29,695,483.25,Quality of Care,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,PWRI11,2018-08-29,740,483.40,Behavioral Health Services,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,PWRI11,2018-08-29,745,483.40,Behavioral Health Services,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,PWRI11,2018-08-29,756,483.45,Pharmacy Services,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,PWRI11,2018-08-29,757,483.45,Pharmacy Services,New,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,PWRI11,2018-08-29,758,483.45,Pharmacy Services,New,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,PWRI11,2018-08-29,880,483.80,Infection Control,New,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,PWRI11,2018-08-29,883,483.80,Infection Control,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,9QJV11,2019-01-16,637,483.20,Resident Assessment and Plan of Care,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,9QJV11,2019-01-16,684,483.25,Quality of Care,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,39EQ11,2019-03-06,585,483.10,Resident Rights,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,39EQ11,2019-03-06,686,483.25,Quality of Care,New,G,Actual harm that is not immediate jeopardy - Isolated,1.0,0.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,39EQ11,2019-03-06,694,483.25,Quality of Care,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,BS8S11,2019-05-09,656,483.21,Comprehensive Resident Centered Care Plans,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,BS8S11,2019-05-09,744,483.40,Behavioral Health Services,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,BS8S11,2019-05-09,842,483.70,Administration,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,T63J11,2019-07-15,550,483.10,Resident Rights,New,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,T63J11,2019-07-15,584,483.10,Resident Rights,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,T63J11,2019-07-15,622,483.15,"Admission, Transfer and Discharge",New,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,T63J11,2019-07-15,623,483.15,"Admission, Transfer and Discharge",New,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,T63J11,2019-07-15,625,483.15,"Admission, Transfer and Discharge",New,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
GRAYS HARBOR HEALTH & REHABILITATION CENTER,505016,T63J11,2019-07-15,658,483.21,Comprehensive Resident Centered Care Plans,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,1.0
